fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
77,HOTEL CASA DEL SOL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"URBANIZACIÓN SAN FERNANDO FINLANDIA, 4.",45,90,-16.544487,28.409605,eth1xeb9vw,348710.13,3143548.08
78,DREAMS HOTEL CHIMISAY,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE AGUSTIN DE BETHENCOURT, 14",62,120,-16.54943,28.416487,eth1xmj443,348235.69,3144316.85
79,APARTAMENTOS PEŃAMAR TOUR,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,"35012",Mogán,"CALLE BENTAYGA, 65 BARRANCO AGUA LA PERRA",27,54,-15.704363,27.78523,esuy4dhkty,430607.43,3073610.41
80,HOTEL CHEKING CONCORDIA PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B54,Martiánez,"38028",Puerto de la Cruz,"FAMILIA BETANCOURT Y MOLINA, 32",236,452,-16.542745,28.417725,eth1xt3cnp,348892.32,3144445.62
81,HC HOTEL MAGEC,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE CUPIDO, 11",186,355,-16.552223,28.414682,eth1xkep90,347959.51,3144120.37
82,HOTEL DON CÁNDIDO,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE PORTUGAL, 10. (URBANIZACIÓN. SAN FERNANDO)",23,40,-16.545918,28.410362,eth1x7zwk5,348571.02,3143633.75
83,HOTEL DON MANOLITO,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE DR. MADAN, S/N (LOS GUIRRES)",92,176,-16.555517,28.415753,eth1xkbtu2,347638.35,3144243.21
84,HOTEL INTERPALACE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE ACEVIŃO, 21",250,500,-16.535797,28.415683,eth1xszj25,349570.06,3144210.65
85,HOTEL BE LIVE EXPERIENCE TENERIFE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B51,Playa Jardín - Maritim,"38028",Puerto de la Cruz,"AVENIDA BLAS PEREZ GONZALEZ, 11",337,650,-16.556254,28.411501,eth1xk0hgr,347560.06,3143773
86,HOTEL ACUARIO,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B51,Playa Jardín - Maritim,"38028",Puerto de la Cruz,"PARQUE DE LAS FLORES, 36",31,160,-16.551965,28.404468,eth1x6ghp2,347970.19,3142988.3
87,HOTEL AF VALLE OROTAVA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE CUPIDO, 12",211,422,-16.55219,28.414664,eth1xkep6j,347962.71,3144118.34
88,HOTEL MARQUESA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE QUINTANA, 11",147,286,-16.549036,28.417199,eth1xmjq5t,348275.3,3144395.25
89,HOTEL MARTE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE DR. INGRAM, 20",95,194,-16.55225,28.415182,eth1xkg42t,347957.58,3144175.81
90,APARTAMENTOS NIDO DEL AGUILA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,"35012",Mogán,"AVENIDA JUAN BOCH MILLARES, S/N",89,261,-15.716819,27.791376,esuy47727x,429384.23,3074298.34
